Date and Time,Aggregated Power,Voltage,Current,Power,Appliance
2024-08-01 12:26:14,1497.669,231,0.877,195.872,TV
2024-08-01 12:32:56,190.321,230,0.871,190.321,TV
2024-08-01 12:32:56,7183.257,231,35.546,6992.936,6 Ton AC
2024-08-01 12:32:56,8189.364,231,5.177,1006.107,Vacuum Cleaner
2024-08-01 12:40:06,244.118,233,1.25,244.118,Refrigerator
2024-08-01 12:40:06,432.779,230,0.877,188.66,TV
2024-08-01 12:40:06,7362.313,230,35.44,6929.534,6 Ton AC
2024-08-01 12:44:09,884.904,230,4.13,884.904,Microwave Oven
2024-08-01 12:44:09,1072.572,233,0.86,187.668,TV
2024-08-01 12:44:09,2117.609,232,5.2,1045.037,Vacuum Cleaner
2024-08-01 12:51:27,7127.301,230,35.796,7127.301,6 Ton AC
2024-08-01 12:51:27,8006.389,231,4.058,879.088,Microwave Oven
2024-08-01 12:51:27,8265.887,231,1.304,259.498,Refrigerator
2024-08-01 12:57:38,6919.145,230,35.992,6919.145,6 Ton AC
2024-08-01 12:57:38,7109.984,231,0.88,190.839,TV
2024-08-01 12:57:38,7360.215,233,1.286,250.231,Refrigerator
2024-08-01 13:04:38,189.478,230,0.872,189.478,TV
2024-08-01 13:04:38,1216.102,233,5.138,1026.624,Vacuum Cleaner
2024-08-01 13:04:38,1463.31,232,1.271,247.208,Refrigerator
2024-08-01 13:10:29,1016.096,232,5.218,1016.096,Vacuum Cleaner
2024-08-01 13:10:29,1876.105,233,3.883,860.009,Microwave Oven
2024-08-01 13:10:29,2063.664,231,0.867,187.56,TV
2024-08-01 13:18:36,877.261,231,4.059,877.261,Microwave Oven
2024-08-01 13:18:36,8082.945,230,36.31,7205.685,6 Ton AC
2024-08-01 13:18:36,8341.753,230,1.318,258.808,Refrigerator
2024-08-01 13:24:35,891.933,230,4.095,891.933,Microwave Oven
2024-08-01 13:24:35,1141.435,233,1.246,249.502,Refrigerator
2024-08-01 13:24:35,2162.297,233,5.096,1020.863,Vacuum Cleaner
2024-08-01 13:31:09,903.724,232,4.078,903.724,Microwave Oven
2024-08-01 13:31:09,1088.08,232,0.853,184.356,TV
2024-08-01 13:31:09,8080.527,233,35.445,6992.447,6 Ton AC
2024-08-01 13:35:48,190.122,232,0.872,190.122,TV
2024-08-01 13:35:48,7233.642,230,36.015,7043.521,6 Ton AC
2024-08-01 13:35:48,7481.761,232,1.266,248.119,Refrigerator
2024-08-01 13:44:43,6979.642,233,35.706,6979.642,6 Ton AC
2024-08-01 13:44:43,7237.41,230,1.298,257.768,Refrigerator
2024-08-01 13:44:43,7427.954,230,0.878,190.544,TV
2024-08-01 13:50:00,6864.198,230,35.659,6864.198,6 Ton AC
2024-08-01 13:50:00,7123.283,232,1.295,259.085,Refrigerator
2024-08-01 13:50:00,8120.399,230,5.158,997.116,Vacuum Cleaner
2024-08-01 13:56:49,258.261,231,1.299,258.261,Refrigerator
2024-08-01 13:56:49,1160.003,231,4.112,901.743,Microwave Oven
2024-08-01 13:56:49,8206.208,232,35.271,7046.204,6 Ton AC
2024-08-01 14:03:09,190.89,233,0.867,190.89,TV
2024-08-01 14:03:09,7138.859,231,35.343,6947.97,6 Ton AC
2024-08-01 14:03:09,8038.198,230,4.093,899.339,Microwave Oven
2024-08-01 14:11:19,194.005,232,0.872,194.005,TV
2024-08-01 14:11:19,1081.066,231,4.02,887.061,Microwave Oven
2024-08-01 14:11:19,8147.815,231,35.335,7066.749,6 Ton AC
2024-08-01 14:16:16,860.809,232,3.922,860.809,Microwave Oven
2024-08-01 14:16:16,1875.508,232,5.213,1014.699,Vacuum Cleaner
2024-08-01 14:16:16,2123.561,232,1.259,248.054,Refrigerator
2024-08-01 14:20:44,1053.38,230,5.306,1053.38,Vacuum Cleaner
2024-08-01 14:20:44,1304.734,233,1.281,251.354,Refrigerator
2024-08-01 14:20:44,1497.988,230,0.875,193.254,TV
2024-08-01 14:27:44,888.503,230,4.069,888.503,Microwave Oven
2024-08-01 14:27:44,8004.352,232,35.719,7115.849,6 Ton AC
2024-08-01 14:27:44,8201.411,233,0.873,197.059,TV
2024-08-01 14:33:03,1029.979,231,5.208,1029.979,Vacuum Cleaner
2024-08-01 14:33:03,1910.158,233,3.964,880.178,Microwave Oven
2024-08-01 14:33:03,2166.7,230,1.292,256.542,Refrigerator
2024-08-01 14:39:25,913.431,231,4.102,913.431,Microwave Oven
2024-08-01 14:39:25,8018.707,231,35.556,7105.276,6 Ton AC
2024-08-01 14:39:25,9046.352,232,5.109,1027.645,Vacuum Cleaner
2024-08-01 14:46:27,878.233,232,3.968,878.233,Microwave Oven
2024-08-01 14:46:27,7866.273,230,35.894,6988.04,6 Ton AC
2024-08-01 14:46:27,8057.124,233,0.85,190.851,TV
2024-08-01 14:51:51,6786.095,231,35.046,6786.095,6 Ton AC
2024-08-01 14:51:51,6970.982,230,0.86,184.888,TV
2024-08-01 14:51:51,7230.821,231,1.315,259.839,Refrigerator
2024-08-01 14:57:30,249.926,231,1.291,249.926,Refrigerator
2024-08-01 14:57:30,439.505,230,0.873,189.578,TV
2024-08-01 14:57:30,7587.919,231,36.242,7148.414,6 Ton AC
2024-08-01 15:02:02,257.59,231,1.305,257.59,Refrigerator
2024-08-01 15:02:02,451.372,232,0.868,193.782,TV
2024-08-01 15:02:02,1306.521,231,3.97,855.149,Microwave Oven
2024-08-01 15:07:26,261.322,230,1.321,261.322,Refrigerator
2024-08-01 15:07:26,7286.178,231,35.509,7024.856,6 Ton AC
2024-08-01 15:07:26,7474.83,230,0.863,188.651,TV
2024-08-01 15:15:23,253.485,232,1.263,253.485,Refrigerator
2024-08-01 15:15:23,443.087,231,0.875,189.602,TV
2024-08-01 15:15:23,1426.303,233,5.049,983.216,Vacuum Cleaner
2024-08-01 15:23:23,248.873,233,1.271,248.873,Refrigerator
2024-08-01 15:23:23,1115.878,233,3.89,867.006,Microwave Oven
2024-08-01 15:23:23,1305.135,230,0.881,189.257,TV
2024-08-01 15:29:20,7034.179,230,35.974,7034.179,6 Ton AC
2024-08-01 15:29:20,7921.485,233,3.972,887.306,Microwave Oven
2024-08-01 15:29:20,8947.092,230,5.278,1025.607,Vacuum Cleaner
2024-08-01 15:34:38,7252.711,232,36.117,7252.711,6 Ton AC
2024-08-01 15:34:38,8118.524,232,3.965,865.813,Microwave Oven
2024-08-01 15:34:38,8363.601,233,1.247,245.076,Refrigerator
2024-08-01 15:41:23,7034.723,230,35.556,7034.723,6 Ton AC
2024-08-01 15:41:23,7284.842,231,1.274,250.118,Refrigerator
2024-08-01 15:41:23,8274.57,230,5.128,989.728,Vacuum Cleaner
2024-08-01 15:45:46,1047.444,233,5.198,1047.444,Vacuum Cleaner
2024-08-01 15:45:46,1235.013,233,0.864,187.57,TV
2024-08-01 15:45:46,8158.235,230,35.171,6923.221,6 Ton AC
